NoiseStd,AvgStep,AvgReturn,Condition,Seed
0.07,136.98000000000002,258.43805353525806,PPO (Neural),200
0.075,139.21999999999997,254.64172151542678,PPO (Neural),200
0.08,152.82000000000002,246.8692684132332,PPO (Neural),200
0.085,101.39999999999998,189.3244083764035,PPO (Neural),200
0.09,147.55999999999997,267.23136481178716,PPO (Neural),200
0.095,124.98000000000002,190.9182878360963,PPO (Neural),200
0.1,126.18000000000004,185.37756132769778,PPO (Neural),200
0.0,1000.0,2903.537581655247,PPO (Neural),300
0.005,959.38,2618.870032405142,PPO (Neural),300
0.01,896.6,2506.472815679284,PPO (Neural),300
0.015,719.6199999999999,1948.9134662108474,PPO (Neural),300
0.02,564.88,1549.170440636545,PPO (Neural),300
0.025,406.34000000000003,1115.994379351042,PPO (Neural),300
0.03,442.24000000000007,1182.604809398698,PPO (Neural),300
0.035,222.84000000000006,565.2930664222805,PPO (Neural),300
0.04,200.45999999999998,516.3944629858112,PPO (Neural),300
0.045,172.46,382.0046697950207,PPO (Neural),300
